instance_id,repo,source_name,hf_dataset,hf_split,base_commit,problem_statement,hints_text,created_at,version,patch,test_patch,FAIL_TO_PASS,PASS_TO_PASS,fail_to_pass,pass_to_pass,issue_url,pr_url,domain,problem_len,has_patch,has_test_patch,patch_files_count,source_files_count,test_files_count,docs_files_count,source_files_touched,test_files_touched,docs_only,tests_only,has_file_gold,has_function_gold,function_symbols_touched,patch_size_bucket,patch_added_lines,patch_removed_lines,patch_hunks,likely_dependency_only,likely_formatting_only,quality_risk_score,quality_risk_reasons,cair_rule_score,rule_label,rule_reject_reason,manual_override_label,manual_review_tier,manual_recommended_categories
astropy__astropy-12907,astropy/astropy,verified,princeton-nlp/SWE-bench_Verified,test,d16bfe05a744909de4b27f5875fe0d4ed41ce607,"Modeling's `separability_matrix` does not compute separability correctly for nested CompoundModels
Consider the following model:

```python
from astropy.modeling import models as m
from astropy.modeling.separable import separability_matrix

cm = m.Linear1D(10) & m.Linear1D(5)
```

It's separability matrix as you might expect is a diagonal:

```python
>>> separability_matrix(cm)
array([[ True, False],
       [False,  True]])
```

If I make the model more complex:
```python
>>> separability_matrix(m.Pix2Sky_TAN() & m.Linear1D(10) & m.Linear1D(5))
array([[ True,  True, False, False],
       [ True,  True, False, False],
       [False, False,  True, False],
       [False, False, False,  True]])
```

The output matrix is again, as expected, the outputs and inputs to the linear models are separable and independent of each other.

If however, I nest these compound models:
```python
>>> separability_matrix(m.Pix2Sky_TAN() & cm)
array([[ True,  True, False, False],
       [ True,  True, False, False],
       [False, False,  True,  True],
       [False, False,  True,  True]])
```
Suddenly the inputs and outputs are no longer separable?

This feels like a bug to me, but I might be missing something?
",,2022-03-03T15:14:54Z,4.3,"diff --git a/astropy/modeling/separable.py b/astropy/modeling/separable.py
--- a/astropy/modeling/separable.py
+++ b/astropy/modeling/separable.py
@@ -242,7 +242,7 @@ def _cstack(left, right):
         cright = _coord_matrix(right, 'right', noutp)
     else:
         cright = np.zeros((noutp, right.shape[1]))
-        cright[-right.shape[0]:, -right.shape[1]:] = 1
+        cright[-right.shape[0]:, -right.shape[1]:] = right
 
     return np.hstack([cleft, cright])
 
","diff --git a/astropy/modeling/tests/test_separable.py b/astropy/modeling/tests/test_separable.py
--- a/astropy/modeling/tests/test_separable.py
+++ b/astropy/modeling/tests/test_separable.py
@@ -28,6 +28,13 @@
 p1 = models.Polynomial1D(1, name='p1')
 
 
+cm_4d_expected = (np.array([False, False, True, True]),
+                  np.array([[True,  True,  False, False],
+                            [True,  True,  False, False],
+                            [False, False, True,  False],
+                            [False, False, False, True]]))
+
+
 compound_models = {
     'cm1': (map3 & sh1 | rot & sh1 | sh1 & sh2 & sh1,
             (np.array([False, False, True]),
@@ -52,7 +59,17 @@
     'cm7': (map2 | p2 & sh1,
             (np.array([False, True]),
              np.array([[True, False], [False, True]]))
-            )
+            ),
+    'cm8': (rot & (sh1 & sh2), cm_4d_expected),
+    'cm9': (rot & sh1 & sh2, cm_4d_expected),
+    'cm10': ((rot & sh1) & sh2, cm_4d_expected),
+    'cm11': (rot & sh1 & (scl1 & scl2),
+             (np.array([False, False, True, True, True]),
+              np.array([[True,  True,  False, False, False],
+                        [True,  True,  False, False, False],
+                        [False, False, True,  False, False],
+                        [False, False, False, True,  False],
+                        [False, False, False, False, True]]))),
 }
 
 
","[""astropy/modeling/tests/test_separable.py::test_separable[compound_model6-result6]"", ""astropy/modeling/tests/test_separable.py::test_separable[compound_model9-result9]""]","[""astropy/modeling/tests/test_separable.py::test_coord_matrix"", ""astropy/modeling/tests/test_separable.py::test_cdot"", ""astropy/modeling/tests/test_separable.py::test_cstack"", ""astropy/modeling/tests/test_separable.py::test_arith_oper"", ""astropy/modeling/tests/test_separable.py::test_separable[compound_model0-result0]"", ""astropy/modeling/tests/test_separable.py::test_separable[compound_model1-result1]"", ""astropy/modeling/tests/test_separable.py::test_separable[compound_model2-result2]"", ""astropy/modeling/tests/test_separable.py::test_separable[compound_model3-result3]"", ""astropy/modeling/tests/test_separable.py::test_separable[compound_model4-result4]"", ""astropy/modeling/tests/test_separable.py::test_separable[compound_model5-result5]"", ""astropy/modeling/tests/test_separable.py::test_separable[compound_model7-result7]"", ""astropy/modeling/tests/test_separable.py::test_separable[compound_model8-result8]"", ""astropy/modeling/tests/test_separable.py::test_custom_model_separable""]","[""astropy/modeling/tests/test_separable.py::test_separable[compound_model6-result6]"", ""astropy/modeling/tests/test_separable.py::test_separable[compound_model9-result9]""]","[""astropy/modeling/tests/test_separable.py::test_coord_matrix"", ""astropy/modeling/tests/test_separable.py::test_cdot"", ""astropy/modeling/tests/test_separable.py::test_cstack"", ""astropy/modeling/tests/test_separable.py::test_arith_oper"", ""astropy/modeling/tests/test_separable.py::test_separable[compound_model0-result0]"", ""astropy/modeling/tests/test_separable.py::test_separable[compound_model1-result1]"", ""astropy/modeling/tests/test_separable.py::test_separable[compound_model2-result2]"", ""astropy/modeling/tests/test_separable.py::test_separable[compound_model3-result3]"", ""astropy/modeling/tests/test_separable.py::test_separable[compound_model4-result4]"", ""astropy/modeling/tests/test_separable.py::test_separable[compound_model5-result5]"", ""astropy/modeling/tests/test_separable.py::test_separable[compound_model7-result7]"", ""astropy/modeling/tests/test_separable.py::test_separable[compound_model8-result8]"", ""astropy/modeling/tests/test_separable.py::test_custom_model_separable""]",,,scientific_computing,1246,True,True,1,1,1,0,astropy/modeling/separable.py,astropy/modeling/tests/test_separable.py,False,False,True,True,astropy/modeling/separable.py::_cstack,small,1,1,1,False,False,0,,100,candidate,,,priority,
astropy__astropy-13033,astropy/astropy,verified,princeton-nlp/SWE-bench_Verified,test,298ccb478e6bf092953bca67a3d29dc6c35f6752,"TimeSeries: misleading exception when required column check fails.
<!-- This comments are hidden when you submit the issue,
so you do not need to remove them! -->

<!-- Please be sure to check out our contributing guidelines,
https://github.com/astropy/astropy/blob/main/CONTRIBUTING.md .
Please be sure to check out our code of conduct,
https://github.com/astropy/astropy/blob/main/CODE_OF_CONDUCT.md . -->

<!-- Please have a search on our GitHub repository to see if a similar
issue has already been posted.
If a similar issue is closed, have a quick look to see if you are satisfied
by the resolution.
If not please go ahead and open an issue! -->

<!-- Please check that the development version still produces the same bug.
You can install development version with
pip install git+https://github.com/astropy/astropy
command. -->

### Description
<!-- Provide a general description of the bug. -->

For a `TimeSeries` object that has additional required columns (in addition to `time`), when codes mistakenly try to remove a required column, the exception it produces is misleading.

### Expected behavior
<!-- What did you expect to happen. -->
An exception that informs the users required columns are missing.

### Actual behavior
The actual exception message is confusing:
`ValueError: TimeSeries object is invalid - expected 'time' as the first columns but found 'time'`

### Steps to Reproduce
<!-- Ideally a code example could be provided so we can run it ourselves. -->
<!-- If you are pasting code, use triple backticks (```) around
your code snippet. -->
<!-- If necessary, sanitize your screen output to be pasted so you do not
reveal secrets like tokens and passwords. -->

```python
from astropy.time import Time
from astropy.timeseries import TimeSeries

time=Time(np.arange(100000, 100003), format='jd')
ts = TimeSeries(time=time, data = {""flux"": [99.9, 99.8, 99.7]})
ts._required_columns = [""time"", ""flux""]                                   
ts.remove_column(""flux"")

```

### System Details
<!-- Even if you do not think this is necessary, it is useful information for the maintainers.
Please run the following snippet and paste the output below:
import platform; print(platform.platform())
import sys; print(""Python"", sys.version)
import numpy; print(""Numpy"", numpy.__version__)
import erfa; print(""pyerfa"", erfa.__version__)
import astropy; print(""astropy"", astropy.__version__)
import scipy; print(""Scipy"", scipy.__version__)
import matplotlib; print(""Matplotlib"", matplotlib.__version__)
-->
```
Windows-10-10.0.22000-SP0
Python 3.9.10 | packaged by conda-forge | (main, Feb  1 2022, 21:21:54) [MSC v.1929 64 bit (AMD64)]
Numpy 1.22.3
pyerfa 2.0.0.1
astropy 5.0.3
Scipy 1.8.0
Matplotlib 3.5.1
```
","The relevant code that produces the misleading exception.

https://github.com/astropy/astropy/blob/00ccfe76113dca48d19396986872203dc2e978d7/astropy/timeseries/core.py#L77-L82

It works under the assumption that `time` is the only required column. So when a `TimeSeries` object has additional required columns, the message no longer makes sense.

Proposal: change the message to the form of: 

```
ValueError: TimeSeries object is invalid - required ['time', 'flux'] as the first columns but found ['time']
```
Your proposed message is definitely less confusing. Wanna PR? 😸 
I cannot run tests anymore after updating my local env to Astropy 5. Any idea?

I used [`pytest` variant](https://docs.astropy.org/en/latest/development/testguide.html#pytest) for running tests.

```
> pytest  astropy/timeseries/tests/test_common.py

C:\pkg\_winNonPortables\Anaconda3\envs\astropy5_dev\lib\site-packages\pluggy\_manager.py:91: in register
    raise ValueError(
E   ValueError: Plugin already registered: c:\dev\astropy\astropy\conftest.py=<module 'astropy.conftest' from 'c:\\dev\\astropy\\astropy\\conftest.py'>
E   {'2885294349760': <_pytest.config.PytestPluginManager object at 0x0000029FC8F1DDC0>, 'pytestconfig': <_pytest.config.Config object at 0x0000029FCB43EAC0>, 'mark': <module '_pytest.mark' from 'C:\\pkg\\_winNonPortables\\Anaconda3\\envs\\astropy5_dev\\lib\\site-packages\\_pytest\\mark\\__init__.py'>, 'main': <module '_pytest.main' from 
...
...
...
'C:\\pkg\\_winNonPortables\\Anaconda3\\envs\\astropy5_dev\\lib\\site-packages\\xdist\\plugin.py'>, 'xdist.looponfail': <module 'xdist.looponfail' from 'C:\\pkg\\_winNonPortables\\Anaconda3\\envs\\astropy5_dev\\lib\\site-packages\\xdist\\looponfail.py'>, 'capturemanager': <CaptureManager _method='fd' _global_capturing=<MultiCapture out=<FDCapture 1 oldfd=8 _state='suspended' tmpfile=<_io.TextIOWrapper name='<tempfile._TemporaryFileWrapper object at 0x0000029FCB521F40>' mode='r+' encoding='utf-8'>> err=<FDCapture 2 oldfd=10 _state='suspended' tmpfile=<_io.TextIOWrapper name='<tempfile._TemporaryFileWrapper object at 0x0000029FCCD50820>' mode='r+' encoding='utf-8'>> in_=<FDCapture 0 oldfd=6 _state='started' tmpfile=<_io.TextIOWrapper name='nul' mode='r' encoding='cp1252'>> _state='suspended' _in_suspended=False> _capture_fixture=None>, 'C:\\dev\\astropy\\conftest.py': <module 'conftest' from 'C:\\dev\\astropy\\conftest.py'>, 'c:\\dev\\astropy\\astropy\\conftest.py': <module 'astropy.conftest' from 'c:\\dev\\astropy\\astropy\\conftest.py'>, 'session': <Session astropy exitstatus=<ExitCode.OK: 0> testsfailed=0 testscollected=0>, 'lfplugin': <_pytest.cacheprovider.LFPlugin object at 0x0000029FCD0385B0>, 'nfplugin': <_pytest.cacheprovider.NFPlugin object at 0x0000029FCD038790>, '2885391664992': <pytest_html.plugin.HTMLReport object at 0x0000029FCEBEC760>, 'doctestplus': <pytest_doctestplus.plugin.DoctestPlus object at 0x0000029FCEBECAC0>, 'legacypath-tmpdir': <class '_pytest.legacypath.LegacyTmpdirPlugin'>, 'terminalreporter': <_pytest.terminal.TerminalReporter object at 0x0000029FCEBECE50>, 'logging-plugin': <_pytest.logging.LoggingPlugin object at 0x0000029FCEBECFD0>, 'funcmanage': <_pytest.fixtures.FixtureManager object at 0x0000029FCEBF6B80>}
```

Huh, never seen that one before. Did you try installing dev astropy on a fresh env, @orionlee ?
I use a brand new conda env (upgrading my old python 3.7, astropy 4 based env is not worth trouble).

- I just found [`astropy.test()`](https://docs.astropy.org/en/latest/development/testguide.html#astropy-test) method works for me. So for this small fix it probably suffices.

```python
> astropy.test(test_path=""astropy/timeseries/tests/test_common.py"")
```

- I read some posts online on  `Plugin already registered` error in other projects, they seem to indicate some symlink issues making pytest reading `contest.py` twice, but I can't seem to find such problems in my environment (my astropy is an editable install, so the path to the source is directly used).

",2022-03-31T23:28:27Z,4.3,"diff --git a/astropy/timeseries/core.py b/astropy/timeseries/core.py
--- a/astropy/timeseries/core.py
+++ b/astropy/timeseries/core.py
@@ -55,6 +55,13 @@ class BaseTimeSeries(QTable):
     _required_columns_relax = False
 
     def _check_required_columns(self):
+        def as_scalar_or_list_str(obj):
+            if not hasattr(obj, ""__len__""):
+                return f""'{obj}'""
+            elif len(obj) == 1:
+                return f""'{obj[0]}'""
+            else:
+                return str(obj)
 
         if not self._required_columns_enabled:
             return
@@ -76,9 +83,10 @@ def _check_required_columns(self):
 
             elif self.colnames[:len(required_columns)] != required_columns:
 
-                raise ValueError(""{} object is invalid - expected '{}' ""
-                                 ""as the first column{} but found '{}'""
-                                 .format(self.__class__.__name__, required_columns[0], plural, self.colnames[0]))
+                raise ValueError(""{} object is invalid - expected {} ""
+                                 ""as the first column{} but found {}""
+                                 .format(self.__class__.__name__, as_scalar_or_list_str(required_columns),
+                                            plural, as_scalar_or_list_str(self.colnames[:len(required_columns)])))
 
             if (self._required_columns_relax
                     and self._required_columns == self.colnames[:len(self._required_columns)]):
","diff --git a/astropy/timeseries/tests/test_sampled.py b/astropy/timeseries/tests/test_sampled.py
--- a/astropy/timeseries/tests/test_sampled.py
+++ b/astropy/timeseries/tests/test_sampled.py
@@ -395,6 +395,14 @@ def test_required_columns():
     assert exc.value.args[0] == (""TimeSeries object is invalid - expected ""
                                  ""'time' as the first column but found 'banana'"")
 
+    # https://github.com/astropy/astropy/issues/13009
+    ts_2cols_required = ts.copy()
+    ts_2cols_required._required_columns = ['time', 'a']
+    with pytest.raises(ValueError) as exc:
+        ts_2cols_required.remove_column('a')
+    assert exc.value.args[0] == (""TimeSeries object is invalid - expected ""
+                                 ""['time', 'a'] as the first columns but found ['time', 'b']"")
+
 
 @pytest.mark.parametrize('cls', [BoxLeastSquares, LombScargle])
 def test_periodogram(cls):
","[""astropy/timeseries/tests/test_sampled.py::test_required_columns""]","[""astropy/timeseries/tests/test_sampled.py::test_empty_initialization"", ""astropy/timeseries/tests/test_sampled.py::test_empty_initialization_invalid"", ""astropy/timeseries/tests/test_sampled.py::test_initialize_only_time"", ""astropy/timeseries/tests/test_sampled.py::test_initialization_with_data"", ""astropy/timeseries/tests/test_sampled.py::test_initialize_only_data"", ""astropy/timeseries/tests/test_sampled.py::test_initialization_with_table"", ""astropy/timeseries/tests/test_sampled.py::test_initialization_missing_time_delta"", ""astropy/timeseries/tests/test_sampled.py::test_initialization_invalid_time_and_time_start"", ""astropy/timeseries/tests/test_sampled.py::test_initialization_invalid_time_delta"", ""astropy/timeseries/tests/test_sampled.py::test_initialization_with_time_in_data"", ""astropy/timeseries/tests/test_sampled.py::test_initialization_n_samples"", ""astropy/timeseries/tests/test_sampled.py::test_initialization_length_mismatch"", ""astropy/timeseries/tests/test_sampled.py::test_initialization_invalid_both_time_and_time_delta"", ""astropy/timeseries/tests/test_sampled.py::test_fold"", ""astropy/timeseries/tests/test_sampled.py::test_fold_invalid_options"", ""astropy/timeseries/tests/test_sampled.py::test_read_time_missing"", ""astropy/timeseries/tests/test_sampled.py::test_read_time_wrong"", ""astropy/timeseries/tests/test_sampled.py::test_read"", ""astropy/timeseries/tests/test_sampled.py::test_periodogram[BoxLeastSquares]"", ""astropy/timeseries/tests/test_sampled.py::test_periodogram[LombScargle]""]","[""astropy/timeseries/tests/test_sampled.py::test_required_columns""]","[""astropy/timeseries/tests/test_sampled.py::test_empty_initialization"", ""astropy/timeseries/tests/test_sampled.py::test_empty_initialization_invalid"", ""astropy/timeseries/tests/test_sampled.py::test_initialize_only_time"", ""astropy/timeseries/tests/test_sampled.py::test_initialization_with_data"", ""astropy/timeseries/tests/test_sampled.py::test_initialize_only_data"", ""astropy/timeseries/tests/test_sampled.py::test_initialization_with_table"", ""astropy/timeseries/tests/test_sampled.py::test_initialization_missing_time_delta"", ""astropy/timeseries/tests/test_sampled.py::test_initialization_invalid_time_and_time_start"", ""astropy/timeseries/tests/test_sampled.py::test_initialization_invalid_time_delta"", ""astropy/timeseries/tests/test_sampled.py::test_initialization_with_time_in_data"", ""astropy/timeseries/tests/test_sampled.py::test_initialization_n_samples"", ""astropy/timeseries/tests/test_sampled.py::test_initialization_length_mismatch"", ""astropy/timeseries/tests/test_sampled.py::test_initialization_invalid_both_time_and_time_delta"", ""astropy/timeseries/tests/test_sampled.py::test_fold"", ""astropy/timeseries/tests/test_sampled.py::test_fold_invalid_options"", ""astropy/timeseries/tests/test_sampled.py::test_read_time_missing"", ""astropy/timeseries/tests/test_sampled.py::test_read_time_wrong"", ""astropy/timeseries/tests/test_sampled.py::test_read"", ""astropy/timeseries/tests/test_sampled.py::test_periodogram[BoxLeastSquares]"", ""astropy/timeseries/tests/test_sampled.py::test_periodogram[LombScargle]""]",,,scientific_computing,2790,True,True,1,1,1,0,astropy/timeseries/core.py,astropy/timeseries/tests/test_sampled.py,False,False,True,True,astropy/timeseries/core.py::_check_required_columns;astropy/timeseries/core.py::as_scalar_or_list_str,small,11,3,2,False,False,0,,100,candidate,,,priority,
